case_reference,open_date,closed_date,status,subject,reason,type,object_type,address_number,address_line_1,city,state,zip_code,property_id,location,latitude,longitude,council_district,police_district,census_tract,census_block_group,census_block,neighborhood,x_coordinate,y_coordinate,census_tract_2010,census_block_group_2010,census_block_2010,tractce20,geoid20_tract,geoid20_blockgroup,geoid20_block,:@computed_region_fk4y_hpmh,:@computed_region_kwzn_pe6v,:@computed_region_uh5x_q5mi,:@computed_region_dwzh_dtk5,:@computed_region_tmcg_v66k,:@computed_region_xbxg_7ifr,:@computed_region_eziv_p4ck,:@computed_region_jdfw_hhbp,:@computed_region_urdz_b6n8,:@computed_region_vsen_jbmg,:@computed_region_nmyf_6jtp,:@computed_region_ff6v_jbaa,:@computed_region_gkva_sjqs,:@computed_region_h7a8_iwt4,address_line_2,:@computed_region_k9un_h6vm
509589-1001799765,2023-02-12T12:00:00.000,2023-02-25T10:39:00.000,Closed,DPIS,Housing,Open311 Housing,Property,86,AUSTIN,Buffalo,NEW YORK,14207,88.25-6-30,"{'latitude': '42.9389141957179', 'longitude': '-78.9019626911593', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.9389141957179,-78.9019626911593,NORTH,District D,59,3,3004,Black Rock,-78.90191,42.93874,59,3,3006,005900,36029005900,360290059003,360290059003004,5,10,50,65,1,9,72,18,1,2,26,88,277,10,,
508695-1001788285,2023-02-05T20:15:00.000,2023-02-15T08:38:00.000,Closed,Utilities,National Grid,Streetlights (Req_Serv),Property,16,LOMBARD,Buffalo,NEW YORK,14206,111.60-5-18,"{'latitude': '42.88636293468795', 'longitude': '-78.83736606569688', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.88636293468795,-78.83736606569688,FILLMORE,District C,16.02,1,1031,Broadway Fillmore,-78.83721,42.88649,16,4,4012,001602,36029001602,360290016021,360290016021031,3,17,33,2466,5,23,34,8,10,1,35,75,245,2,,
1001774631,2023-01-17T09:27:00.000,2023-01-18T15:20:00.000,Closed,Dept of Public Works,Engineering - Street Repairs,Pot Hole (Req_Serv),Property,INTERSECTION,Best St,Buffalo,NEW YORK,14211,1790,"{'latitude': '42.90366812974978', 'longitude': '-78.83929410828858', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.90366812974978,-78.83929410828858,FILLMORE,District C,27.03,1,1002,MLK Park,1079713.9,1058070.2,27.02,2,2002,002703,36029002703,360290027031,360290027031002,3,4,230,3258,9,35,4,17,10,1,29,24,29,2,Fillmore Ave,
1001764214,2023-01-12T14:40:00.000,2023-01-13T09:53:00.000,Closed,Dept of Parking,Moving Violations,Buffalo Traffic Violations (Req_Serv),Property,65,NIAGARA SQ,Buffalo,NEW YORK,14202,111.53-2-2,"{'latitude': '42.886612475063906', 'longitude': '-78.87930342388825', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.886612475063906,-78.87930342388825,ELLICOTT,District B,165,1,1020,Central,-8780804.337,5294730.0418,165,1,1053,016500,36029016500,360290165001,360290165001020,1,3,31,1191,4,4,77,19,9,5,16,80,265,4,,9
1001786969,2023-01-27T13:57:00.000,2023-01-30T22:05:00.000,Closed,Dept of Public Works,Forestry,Fallen Tree Blocking RoW (Req_Serv),Property,185,BURGARD,Buffalo,NEW YORK,14211,101.49-1-23,"{'latitude': '42.90989859522914', 'longitude': '-78.81445553849512', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.90989859522914,-78.81445553849512,LOVEJOY,District C,37,4,4010,Genesee-Moselle,-8773585.489,5298268.5716,37,3,3004,003700,36029003700,360290037004,360290037004010,3,4,194,2944,2,1,15,17,8,1,24,28,209,5,,
1001721108,2022-10-26T10:36:00.000,2023-01-04T08:13:00.000,Closed,Dept of Public Works,Rodent_Pest Control,Rodents (Req_Serv),Property,716,ELMWOOD,Buffalo,NEW YORK,14222,100.29-3-10,"{'latitude': '42.91660036619825', 'longitude': '-78.8774555454645', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.91660036619825,-78.8774555454645,DELAWARE,District D,65.01,1,1006,Elmwood Bidwell,-8780598.628,5299287.2139,65.01,1,1006,006501,36029006501,360290065011,360290065011006,5,12,191,632,7,27,49,4,3,2,14,35,78,1,,
1001774289,2023-01-13T08:46:00.000,2023-02-22T14:19:00.000,Closed,DPIS,Housing,Housing Violations (Req_Serv),Property,111,WOODLAWN,Buffalo,NEW YORK,14209,100.40-3-17,"{'latitude': '42.913686096576946', 'longitude': '-78.860601151632', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.913686096576946,-78.860601151632,MASTEN,District E,168.02,2,2007,Masten Park,-8778722.402,5298844.2432,168,4,4007,016802,36029016802,360290168022,360290168022007,2,21,215,1150,9,16,25,14,5,4,9,32,20,8,,
1001802672,2023-02-24T12:30:00.000,2023-02-25T10:45:00.000,Closed,Dept of Public Works,Streets,Street Salting (Req_Serv),Property,385,WALNUT,Buffalo,NEW YORK,14204,111.40-3-47.1,"{'latitude': '42.89199781070743', 'longitude': '-78.86238132558505', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.89199781070743,-78.86238132558505,ELLICOTT,District B,25.02,3,3020,Pratt-Willert,-8778920.574,5295548.2719,25.02,2,2026,002502,36029002502,360290025023,360290025023020,1,16,58,1625,4,22,2,15,9,5,8,78,17,4,,
1001802549,2023-02-24T10:33:00.000,,Open,Dept of Public Works,Sanitation,Recycling Tote Replace (Req_Serv),Property,134,MOHICAN,Buffalo,NEW YORK,14211,89.84-1-16,"{'latitude': '42.92132774951565', 'longitude': '-78.84043541201414', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.92132774951565,-78.84043541201414,MASTEN,District E,34,5,5008,Delavan Grider,-8776477.558,5300005.8221,34,5,5007,003400,36029003400,360290034005,360290034005008,2,4,39,1382,9,7,47,17,6,4,20,76,156,8,,
1001758333,2022-12-28T13:23:00.000,2023-01-06T10:26:00.000,Closed,Dept of Public Works,Streets,Street Snow Plowing (Req_Serv),Property,31,PAVONIA,Buffalo,NEW YORK,14207,77.76-2-14,"{'latitude': '42.945043024056545', 'longitude': '-78.88672833645641', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.945043024056545,-78.88672833645641,NORTH,District D,56,3,3002,West Hertel,-8781630.868,5303611.6111,56,3,3003,005600,36029005600,360290056003,360290056003002,5,10,56,938,1,3,57,18,1,2,19,79,227,10,,
507078-1001775815,2023-01-21T11:01:00.000,2023-01-23T10:51:00.000,Closed,Dept of Public Works,Engineering - Street Repairs,Pot Hole (Req_Serv),Property,847,POTOMAC,Buffalo,NEW YORK,14209,89.71-2-23,"{'latitude': '42.924047114938276', 'longitude': '-78.86770664743503', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.924047114938276,-78.86770664743503,DELAWARE,District D,63.02,2,2000,Elmwood Bidwell,-78.8677,42.92416,63.02,2,2000,006302,36029006302,360290063022,360290063022000,5,21,187,863,7,27,54,14,5,2,14,8,53,1,,
1001776230,2023-01-24T13:38:00.000,2023-01-31T10:24:00.000,Closed,Dept of Public Works,Sanitation,Totes Deliver (Req_Serv),Property,306,FRENCH,Buffalo,NEW YORK,14211,101.46-2-64,"{'latitude': '42.910623834582935', 'longitude': '-78.82749132043448', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.910623834582935,-78.82749132043448,FILLMORE,District C,35.01,2,2007,MLK Park,-8775036.628,5298378.7999,35,3,3007,003501,36029003501,360290035012,360290035012007,3,4,87,2634,5,35,4,17,8,1,29,3,185,2,,
1001800837,2023-02-16T12:40:00.000,2023-02-20T05:56:00.000,Closed,Dept of Public Works,Sanitation,Garbage Missed Pick Up (Req_Serv),Property,124,PURDY,Buffalo,NEW YORK,14208,100.41-3-3,"{'latitude': '42.91356579399668', 'longitude': '-78.85701695689926', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.91356579399668,-78.85701695689926,MASTEN,District E,168.02,2,2010,Masten Park,-8778323.411,5298825.9576,168,4,4010,016802,36029016802,360290168022,360290168022010,2,22,215,336,9,16,25,7,5,4,9,32,20,8,,
1001756171,2022-12-26T15:04:00.000,2023-01-06T17:10:00.000,Closed,Dept of Public Works,Streets,Street Snow Plowing (Req_Serv),Property,44,MYERS,Buffalo,NEW YORK,14211,100.76-2-11,"{'latitude': '42.90312078148876', 'longitude': '-78.84075625202563', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.90312078148876,-78.84075625202563,FILLMORE,District C,166,2,2001,Broadway Fillmore,-8776513.276,5297238.4857,166,2,2001,016600,36029016600,360290166002,360290166002001,3,4,139,1057,5,23,26,17,10,1,35,17,4,2,,
1001756978,2022-12-27T12:02:00.000,2023-01-06T16:49:00.000,Closed,Dept of Public Works,Streets,Street Snow Plowing (Req_Serv),Property,235,SHERMAN,Buffalo,NEW YORK,14212,111.43-10-25,"{'latitude': '42.88993171229306', 'longitude': '-78.8466312637459', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.88993171229306,-78.8466312637459,FILLMORE,District C,15,2,2002,Broadway Fillmore,-8777167.282,5295234.3467,15,2,2002,001500,36029001500,360290015002,360290015002002,3,8,184,3124,5,23,60,2,10,1,35,47,50,2,,
1001762652,2023-01-06T15:54:00.000,2023-01-07T09:21:00.000,Closed,Dept of Public Works,Sanitation,Garbage Missed Pick Up (Req_Serv),Property,440,LINCOLN,Buffalo,NEW YORK,14216,89.22-1-9.1,"{'latitude': '42.94163280109437', 'longitude': '-78.87266098736326', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.94163280109437,-78.87266098736326,NORTH,District D,54,2,2002,Parkside,-8780064.895,5303093.0182,54,2,2002,005400,36029005400,360290054002,360290054002002,5,5,41,1907,1,28,36,13,2,2,28,65,256,10,,
1001764161,2023-01-12T13:07:00.000,2023-01-19T10:57:00.000,Closed,Dept of Public Works,Sanitation,Totes Replace (Req_Serv),Property,143,ENGLEWOOD,Buffalo,NEW YORK,14214,79.38-7-18,"{'latitude': '42.9553742096259', 'longitude': '-78.82827988976747', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.9553742096259,-78.82827988976747,UNIVERSITY,District E,46.01,1,1006,University Heights,-8775124.405,5305182.8497,46.01,1,1007,004601,36029004601,360290046011,360290046011006,2,18,254,3238,8,30,73,20,7,4,34,91,248,7,,
1001774836,2023-01-17T14:52:00.000,2023-01-20T11:58:00.000,Closed,Dept of Public Works,Sanitation,Garbage Missed Pick Up (Req_Serv),Property,88,O CONNELL,Buffalo,NEW YORK,14204,122.40-6-24,"{'latitude': '42.86795440527779', 'longitude': '-78.86234980020225', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.86795440527779,-78.86234980020225,FILLMORE,District A,5,2,2002,First Ward,-8778917.068,5291895.7471,5,2,2002,000500,36029000500,360290005002,360290005002002,4,16,11,2139,5,20,32,15,13,3,5,14,44,2,,
1001763370,2023-01-10T10:50:00.000,2023-01-10T15:19:00.000,Closed,Dept of Public Works,Streets,Leaves / Lawn Debris (Req_Serv),Property,262,EDEN,Buffalo,NEW YORK,14220,133.73-7-21,"{'latitude': '42.83668052290278', 'longitude': '-78.81400450308897', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.83668052290278,-78.81400450308897,SOUTH,District A,6,3,3000,South Park,-8773535.289,5287146.9392,6,3,3000,000600,36029000600,360290006003,360290006003000,4,9,180,1348,6,33,74,1,12,3,13,12,166,9,,
507357-1001776053,2023-01-23T15:16:00.000,2023-01-24T08:56:00.000,Closed,Dept of Parking,Parking Violations Bureau,Parking Issues (Req_Serv),Property,17,IRVING,Buffalo,NEW YORK,14201,100.78-9-5.1,"{'latitude': '42.89988707788807', 'longitude': '-78.87489893373268', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.89988707788807,-78.87489893373268,FILLMORE,District B,68.02,3,3000,Allentown,-78.87486,42.89992,68,4,4000,006802,36029006802,360290068023,360290068023000,1,15,92,178,5,2,13,9,9,5,23,74,171,2,,1
1001339938,2021-02-09T14:36:00.000,2023-01-02T17:20:00.000,Closed,Dept of Public Works,Engineering - Traffic,Sign Maintenance (Req_Serv),Property,INTERSECTION,Forest Ave,Buffalo,NEW YORK,14208,1994,"{'latitude': '42.928058126915296', 'longitude': '-78.86754509326569', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.928058126915296,-78.86754509326569,DELAWARE,District D,53,2,2003,Elmwood Bidwell,1072174.2,1066985.6,53,2,2006,005300,36029005300,360290053002,360290053002003,5,21,237,942,7,27,29,7,2,2,14,54,259,1,Delaware Ave,
1001757568,2022-12-27T16:32:00.000,2023-01-03T11:08:00.000,Closed,Dept of Public Works,Sanitation,Totes Replace (Req_Serv),Property,92,KILHOFFER,Buffalo,NEW YORK,14211,101.40-2-11,"{'latitude': '42.91393356328338', 'longitude': '-78.81702030993783', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.91393356328338,-78.81702030993783,FILLMORE,District C,36,3,3000,Genesee-Moselle,-8773870.998,5298881.8567,36,3,3000,003600,36029003600,360290036003,360290036003000,3,4,81,321,5,1,18,17,8,1,24,36,6,2,,
1001759927,2022-12-30T11:50:00.000,2023-01-03T08:38:00.000,Closed,Dept of Public Works,Engineering - Street Repairs,Pot Hole (Req_Serv),Property,INTERSECTION,Walden Ave,Buffalo,NEW YORK,14211,1924,"{'latitude': '42.9061341348112', 'longitude': '-78.80432016704438', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.9061341348112,-78.80432016704438,LOVEJOY,District C,30,2,2000,Schiller Park,1089086.2,1058943.9,30,2,2000,003000,36029003000,360290030002,360290030002000,3,4,199,1732,2,12,11,17,11,1,17,51,1,5,Poplar Ave,
1001762483,2023-01-06T13:02:00.000,2023-01-13T10:46:00.000,Closed,Dept of Public Works,Sanitation,Totes Replace (Req_Serv),Property,1260,DELAWARE,Buffalo,NEW YORK,14209,100.23-1-27,"{'latitude': '42.91832894935769', 'longitude': '-78.86897350971134', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.91832894935769,-78.86897350971134,DELAWARE,District D,169,1,1003,Elmwood Bidwell,-8779654.41,5299549.9691,169,1,1001,016900,36029016900,360290169001,360290169001003,5,12,185,1032,7,27,50,14,5,2,14,10,244,1,,
1001763402,2023-01-10T11:25:00.000,2023-01-13T08:21:00.000,Closed,DPIS,Housing,Housing Violations (Req_Serv),Property,376,NORFOLK,Buffalo,NEW YORK,14215,90.71-5-6,"{'latitude': '42.92505045444773', 'longitude': '-78.81987609423533', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.92505045444773,-78.81987609423533,MASTEN,District E,170,1,1009,Delavan Grider,-8774188.901,5300571.7486,170,1,1005,017000,36029017000,360290170001,360290170001009,2,11,192,3076,9,7,16,11,7,4,20,63,141,8,,
1001762154,2023-01-05T16:06:00.000,2023-01-13T10:53:00.000,Closed,Dept of Public Works,Sanitation,Totes Replace (Req_Serv),Property,630,HERTEL,Buffalo,NEW YORK,14207,77.68-3-22,"{'latitude': '42.94777353016052', 'longitude': '-78.88499348319792', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.94777353016052,-78.88499348319792,NORTH,District D,56,3,3004,West Hertel,-8781437.744,5304026.8598,56,3,3005,005600,36029005600,360290056003,360290056003004,5,10,56,3006,1,3,57,18,1,2,19,79,227,10,,
1001760906,2023-01-03T15:03:00.000,2023-02-22T15:27:00.000,Closed,DPIS,Housing,Housing Violations (Req_Serv),Property,13,HARWOOD,Buffalo,NEW YORK,14208,100.26-1-39.2,"{'latitude': '42.91784603039997', 'longitude': '-78.85324179663029', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.91784603039997,-78.85324179663029,MASTEN,District E,33.01,4,4001,Hamlin Park,-8777903.161,5299476.5613,33.01,4,4001,003301,36029003301,360290033014,360290033014001,2,22,52,2558,9,31,59,7,6,4,21,11,138,8,,3
1001802326,2023-02-23T23:56:00.000,,Open,Dept of Law,Freedom of Information,FOIL Records EDPIS (Req_Serv),Unknown,Unknown,Unknown,Buffalo,NEW YORK,UNKNOWN,Unknown,,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,,Unknown,
1001763356,2023-01-10T10:31:00.000,2023-01-13T11:27:00.000,Closed,Dept of Public Works,Sanitation,Missed Pickup 2_Piece Large Trash (Req_Serv),Property,116,ST MARYS,Buffalo,NEW YORK,14211,101.58-1-7,"{'latitude': '42.909039735670625', 'longitude': '-78.80745946364519', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.909039735670625,-78.80745946364519,LOVEJOY,District C,30,3,3001,Schiller Park,-8772806.688,5298138.0366,30,3,3001,003000,36029003000,360290030003,360290030003001,3,4,234,872,2,12,11,17,8,1,17,51,15,5,,
1001763452,2023-01-10T12:25:00.000,2023-01-13T22:05:00.000,Closed,Dept of Public Works,Forestry,Tree Other (Req_Serv),Property,125,CRYSTAL,Buffalo,NEW YORK,14220,133.46-1-32,"{'latitude': '42.8456378991776', 'longitude': '-78.82753505591798', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.8456378991776,-78.82753505591798,SOUTH,District A,2,3,3005,Hopkins-Tifft,-8775041.505,5288506.8335,2,3,3005,000200,36029000200,360290002003,360290002003005,4,9,147,2468,6,10,1,1,14,3,27,40,16,9,,
1001763945,2023-01-12T00:13:00.000,2023-01-13T11:09:00.000,Closed,DPIS,Housing,Housing Violations (Req_Serv),Property,353,SHIRLEY,Buffalo,NEW YORK,14215,79.81-1-14,"{'latitude': '42.94396952953086', 'longitude': '-78.81150747211008', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.94396952953086,-78.81150747211008,UNIVERSITY,District E,43,2,2001,Kensington-Bailey,-8773257.307,5303448.3607,43,2,2001,004300,36029004300,360290043002,360290043002001,2,11,66,284,8,13,7,11,7,4,6,62,263,7,,
1001758522,2022-12-28T15:15:00.000,2023-01-03T09:16:00.000,Closed,DPIS,Housing,Housing Violations (Req_Serv),Property,1974,CLINTON,Buffalo,NEW YORK,14206,123.34-6-15.1,"{'latitude': '42.87206816145456', 'longitude': '-78.80344045350498', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42.87206816145456,-78.80344045350498,LOVEJOY,District A,167,1,1008,Kaisertown,-8772359.298,5292520.5805,167,1,1007,016700,36029016700,360290167001,360290167001008,4,17,9,1864,2,34,53,8,11,3,12,39,184,5,,
